course_id,major_group,term_year,term_season,term_class_level,course_grade
AA-100,Anatomy and Physiology,2025,Spring,Junior,A
AA-100,Anatomy and Physiology,2025,Summer,Junior,A
AA-100,Behavioral and Cognitive Neuroscience,2025,Fall,Senior,F
AA-100,Exercise Science,2022,Fall,Freshman,B
AA-100,Exercise Science,2023,Fall,Freshman,B+
AA-100,Exercise Science,2023,Fall,Freshman,C+
AA-100,Exercise Science,2023,Fall,Freshman,W
AA-100,Exercise Science,2023,Spring,Sophomore,B
AA-100,Exercise Science,2024,Fall,Freshman,C
AA-100,Exercise Science,2024,Spring,Sophomore,B
AA-100,Exercise Science,2025,Spring,Sophomore,A
AA-100,Health Promotion,2021,Fall,Freshman,B
AA-100,Health Promotion,2021,Fall,Freshman,W
AA-100,Health Promotion,2025,Spring,Sophomore,C+
AA-100,Microbiology and Infectious Disease,2022,Fall,Sophomore,B+
AA-101,Exercise Science,2024,Fall,Freshman,C
AA-101,Exercise Science,2024,Spring,Sophomore,A
AA-101,Exercise Science,2025,Spring,Sophomore,B
AA-101,Health Promotion,2025,Spring,Sophomore,B
AB-480A2,Health Promotion,2023,Spring,Sophomore,F
AB-509,Microbiology and Infectious Disease,2024,Fall,Senior,B
ACT-205,Anatomy and Physiology,2023,Spring,Freshman,B
ACT-205,Anatomy and Physiology,2024,Spring,Junior,A
ACT-205,Anatomy and Physiology,2024,Spring,Senior,A+
ACT-205,Anatomy and Physiology,2025,Spring,Junior,A+
ACT-205,Cell and Molecular Neuroscience,2025,Spring,Junior,A
ACT-205,Environmental and Public Health,2024,Spring,Sophomore,C+
ACT-205,Environmental and Public Health,2024,Summer,Junior,C+
ACT-205,Exercise Science,2023,Fall,Junior,A
ACT-205,Exercise Science,2023,Fall,Sophomore,C
ACT-205,Exercise Science,2023,Spring,Sophomore,B-
ACT-205,Exercise Science,2024,Fall,Junior,B
ACT-205,Exercise Science,2024,Fall,Senior,B-
ACT-205,Exercise Science,2024,Fall,Sophomore,B+
ACT-205,Exercise Science,2024,Spring,Junior,A
ACT-205,Exercise Science,2024,Spring,Junior,B+
ACT-205,Exercise Science,2025,Fall,Junior,A
ACT-205,Exercise Science,2025,Fall,Sophomore,A+
ACT-205,Exercise Science,2025,Spring,Freshman,F
ACT-205,Exercise Science,2025,Spring,Sophomore,A
ACT-205,Exercise Science,2025,Summer,Junior,B
ACT-205,Exercise Science,2025,Summer,Junior,B+
ACT-205,Health Promotion,2023,Spring,Sophomore,C
ACT-205,Health Promotion,2024,Fall,Junior,A+
ACT-205,Health Promotion,2024,Fall,Junior,C
ACT-205,Health Promotion,2024,Fall,Junior,C+
ACT-205,Health Promotion,2024,Fall,Senior,B
ACT-205,Health Promotion,2024,Spring,Junior,A
ACT-205,Health Promotion,2024,Spring,Junior,A+
ACT-205,Health Promotion,2024,Spring,Sophomore,A+
ACT-205,Health Promotion,2024,Summer,Junior,C
ACT-205,Health Promotion,2025,Fall,Junior,A
ACT-205,Health Promotion,2025,Fall,Junior,C+
ACT-205,Health Promotion,2025,Fall,Sophomore,C+
ACT-205,Health Promotion,2025,Spring,Junior,C+
ACT-205,Health Promotion,2025,Spring,Junior,W
ACT-205,Health Promotion,2025,Spring,Senior,W
ACT-205,Health Promotion,2025,Spring,Sophomore,A
ACT-205,Health Promotion,2025,Summer,Senior,B-
ACT-205,Microbiology and Infectious Disease,2025,Spring,Sophomore,A
ACT-205,Other,2025,Spring,Sophomore,B-
ACT-210,Anatomy and Physiology,2022,Spring,Sophomore,A
ACT-210,Exercise Science,2024,Fall,Sophomore,B+
ACT-210,Exercise Science,2024,Spring,Sophomore,A
ACT-210,Exercise Science,2024,Spring,Sophomore,C
ACT-210,Exercise Science,2025,Summer,Senior,C
ACT-210,Health Promotion,2021,Spring,Freshman,W
ACT-210,Health Promotion,2024,Spring,Junior,A+
ACT-210,Other,2025,Spring,Freshman,B+
ACT-220,Anatomy and Physiology,2022,Fall,Junior,A
ACT-220,Exercise Science,2024,Fall,Junior,A
ACT-220,Health Promotion,2025,Spring,Senior,A
AGED-110,Anatomy and Physiology,2024,Spring,Sophomore,A
AGED-110,Anatomy and Physiology,2024,Spring,Sophomore,NGC
AGED-110,Microbiology and Infectious Disease,2025,Spring,Junior,A
AGED-110,Microbiology and Infectious Disease,2025,Spring,Junior,NGC
AGED-220,Anatomy and Physiology,2024,Fall,Junior,A
AGED-220,Microbiology and Infectious Disease,2024,Fall,Junior,A
AGED-330,Anatomy and Physiology,2025,Spring,Senior,A
AGRI-116,Anatomy and Physiology,2023,Fall,Junior,A+
AGRI-116,Anatomy and Physiology,2023,Fall,Junior,B
AGRI-116,Anatomy and Physiology,2023,Fall,Junior,NGC
AGRI-116,Exercise Science,2023,Fall,Sophomore,C
AGRI-116,Exercise Science,2023,Fall,Sophomore,NGC
AGRI-116,Microbiology and Infectious Disease,2023,Fall,Junior,A+
AGRI-116,Microbiology and Infectious Disease,2023,Fall,Junior,NGC
AHS-280A1,Behavioral and Cognitive Neuroscience,2024,Fall,Freshman,B-
AHS-280A1,Exercise Science,2024,Fall,Sophomore,C
AHS-280A1,Health Promotion,2025,Fall,Junior,A
AHS-487B,Anatomy and Physiology,2025,Fall,Senior,A+
AM-101,Exercise Science,2022,Fall,Freshman,B+
AM-110,Exercise Science,2023,Spring,Sophomore,C
AM-110,Exercise Science,2023,Spring,Sophomore,NGC
AM-130,Anatomy and Physiology,2025,Fall,Sophomore,A+
AM-130,Exercise Science,2023,Spring,Sophomore,B
AM-130,Exercise Science,2025,Fall,Freshman,B-
AM-130,Exercise Science,2025,Fall,Freshman,F
AM-130,Health Promotion,2023,Fall,Sophomore,B
AM-130,Microbiology and Infectious Disease,2024,Fall,Sophomore,A
AM-130,Microbiology and Infectious Disease,2024,Spring,Sophomore,A+
AM-143,Exercise Science,2023,Spring,Sophomore,B-
AM-143,Exercise Science,2023,Spring,Sophomore,NGC
AM-220,Exercise Science,2023,Fall,Sophomore,C
AM-220,Exercise Science,2023,Fall,Sophomore,NGC
AM-250,Environmental and Public Health,2023,Fall,Sophomore,B
AM-250,Exercise Science,2023,Fall,Freshman,A-
AM-250,Exercise Science,2023,Fall,Sophomore,A-
AM-250,Exercise Science,2023,Spring,Sophomore,B+
AM-250,Exercise Science,2025,Fall,Junior,F
AM-250,Microbiology and Infectious Disease,2023,Spring,Sophomore,A
AM-364,Anatomy and Physiology,2025,Summer,Sophomore,D
AMST-100,Anatomy and Physiology,2024,Spring,Junior,A+
AMST-100,Cell and Molecular Neuroscience,2024,Spring,Sophomore,A+
AMST-100,Exercise Science,2022,Fall,Sophomore,D
AMST-100,Exercise Science,2024,Fall,Junior,C+
AMST-100,Exercise Science,2024,Spring,Junior,A+
AMST-100,Exercise Science,2024,Spring,Junior,C+
AMST-100,Exercise Science,2025,Fall,Senior,A-
AMST-100,Exercise Science,2025,Fall,Sophomore,B-
AMST-100,Exercise Science,2025,Spring,Sophomore,A-
AMST-100,Exercise Science,2025,Spring,Sophomore,B-
AMST-100,Health Promotion,2022,Fall,Sophomore,D
AMST-100,Health Promotion,2024,Fall,Freshman,B
AMST-100,Microbiology and Infectious Disease,2024,Fall,Sophomore,A-
AMST-100,Microbiology and Infectious Disease,2025,Fall,Freshman,A
AMST-100,Neuroscience,2024,Fall,Sophomore,A
AMST-100,Neuroscience,2025,Fall,Sophomore,A+
AMST-101,Anatomy and Physiology,2023,Fall,Junior,A+
AMST-101,Anatomy and Physiology,2024,Fall,Junior,A+
AMST-101,Anatomy and Physiology,2024,Spring,Sophomore,A
AMST-101,Anatomy and Physiology,2025,Spring,Sophomore,A
AMST-101,Behavioral and Cognitive Neuroscience,2023,Spring,Freshman,C+
AMST-101,Behavioral and Cognitive Neuroscience,2024,Fall,Freshman,B
AMST-101,Behavioral and Cognitive Neuroscience,2025,Fall,Sophomore,B
AMST-101,Behavioral and Cognitive Neuroscience,2025,Spring,Sophomore,A
AMST-101,Cell and Molecular Neuroscience,2025,Fall,Senior,B
AMST-101,Environmental and Public Health,2024,Spring,Junior,A
AMST-101,Environmental and Public Health,2024,Spring,Sophomore,C
AMST-101,Environmental and Public Health,2025,Fall,Sophomore,A-
AMST-101,Environmental and Public Health,2025,Fall,Sophomore,B-
AMST-101,Environmental and Public Health,2025,Spring,Sophomore,A-
AMST-101,Exercise Science,2023,Spring,Sophomore,B+
AMST-101,Exercise Science,2024,Fall,Freshman,B+
AMST-101,Exercise Science,2024,Fall,Junior,A
AMST-101,Exercise Science,2024,Fall,Senior,C
AMST-101,Exercise Science,2024,Fall,Sophomore,A+
AMST-101,Exercise Science,2025,Fall,Senior,A-
AMST-101,Exercise Science,2025,Fall,Senior,B+
AMST-101,Exercise Science,2025,Fall,Sophomore,A+
AMST-101,Exercise Science,2025,Fall,Sophomore,B
AMST-101,Exercise Science,2025,Spring,Junior,A+
AMST-101,Exercise Science,2025,Spring,Junior,A-
