course_id,course_grade,enrollments
AA-100,A,3
AA-100,B,4
AA-100,B+,2
AA-100,C,1
AA-100,C+,2
AA-100,F,1
AA-100,W,2
AA-101,A,1
AA-101,B,2
AA-101,C,1
AB-480A2,F,1
AB-509,B,1
ACT-205,A,12
ACT-205,A+,6
ACT-205,B,4
ACT-205,B+,3
ACT-205,B-,4
ACT-205,C,5
ACT-205,C+,6
ACT-205,F,1
ACT-205,W,2
ACT-210,A,2
ACT-210,A+,1
ACT-210,B+,2
ACT-210,C,2
ACT-210,W,1
ACT-220,A,3
AGED-110,A,2
AGED-110,NGC,2
AGED-220,A,2
AGED-330,A,1
AGRI-116,A+,2
AGRI-116,B,1
AGRI-116,C,1
AGRI-116,NGC,4
AHS-280A1,A,1
AHS-280A1,B-,1
AHS-280A1,C,1
AHS-487B,A+,1
AM-101,B+,1
AM-110,C,1
AM-110,NGC,1
AM-130,A,1
AM-130,A+,2
AM-130,B,2
AM-130,B-,1
AM-130,F,1
AM-143,B-,1
AM-143,NGC,1
AM-220,C,1
AM-220,NGC,1
AM-250,A,1
AM-250,A-,2
AM-250,B,1
AM-250,B+,1
AM-250,F,1
AM-364,D,1
AMST-100,A,2
AMST-100,A+,4
AMST-100,A-,4
AMST-100,B,1
AMST-100,B-,2
AMST-100,C+,2
AMST-100,D,2
AMST-101,A,14
AMST-101,A+,6
AMST-101,A-,6
AMST-101,B,12
AMST-101,B+,6
AMST-101,B-,3
AMST-101,C,3
AMST-101,C+,1
ANEQ-101,A,2
ANEQ-101,A+,4
ANEQ-101,A-,1
ANEQ-101,B+,1
ANEQ-101,C,2
ANEQ-101,C+,1
ANEQ-101,F,1
ANEQ-101,NGC,13
ANEQ-101,W,6
ANEQ-102,A,5
ANEQ-102,B,3
ANEQ-102,F,1
ANEQ-102,NGC,9
ANEQ-105,A,6
ANEQ-105,A+,3
ANEQ-105,B,1
ANEQ-105,B+,1
ANEQ-105,F,1
ANEQ-105,W,1
ANEQ-115,A,1
ANEQ-115,A+,3
ANEQ-115,B,1
ANEQ-115,NGC,5
ANEQ-180A2,C,1
ANEQ-193,A,8
ANEQ-193,B,2
ANEQ-193,C,2
ANEQ-193,D,1
ANEQ-201B,A,1
ANEQ-201B,RF,1
ANEQ-250,A,1
ANEQ-250,B,1
ANEQ-250,NGC,2
ANEQ-292,A,1
ANEQ-292,A+,2
ANEQ-293,A,2
ANEQ-300A,A+,1
ANEQ-300A,F,1
ANEQ-305,A,4
ANEQ-305,B,1
ANEQ-305,RC,1
ANEQ-305,W,1
ANEQ-310,A,2
ANEQ-320,A,9
ANEQ-320,B,3
ANEQ-320,C,2
ANEQ-320,NGC,18
ANEQ-320,RD,1
ANEQ-328,A,3
ANEQ-328,B,1
ANEQ-334,A,1
ANEQ-344,B+,1
ANEQ-345,W,1
ANEQ-346,C,1
ANEQ-346,NGC,1
ANEQ-351,A-,1
ANEQ-351,NGC,1
ANEQ-360,A,3
ANEQ-365,A+,1
ANEQ-365,NGC,1
ANEQ-384,S,2
ANEQ-440,A,1
ANEQ-486,S,1
ANEQ-487B,S,1
ANEQ-522,A,1
ANTH-100,A,6
ANTH-100,B,9
ANTH-100,C,2
ANTH-100,D,2
ANTH-100,W,1
ANTH-120,A,4
ANTH-120,A+,2
ANTH-120,B,8
ANTH-120,C,4
ANTH-120,D,1
ANTH-120,F,1
ANTH-120,RF,2
ANTH-120,W,1
ANTH-121,A,3
ANTH-121,B,2
ANTH-140,A,30
ANTH-140,A+,3
ANTH-140,A-,2
ANTH-140,B,20
ANTH-140,B+,3
ANTH-140,B-,4
ANTH-140,C,4
ANTH-140,C+,1
ANTH-140,F,1
ANTH-140,W,3
ANTH-200,A,20
ANTH-200,A+,2
ANTH-200,A-,5
ANTH-200,B,6
ANTH-200,B+,2
ANTH-200,B-,1
ANTH-200,C,1
ANTH-200,D,2
ANTH-200,F,1
ANTH-200,RD,1
ANTH-200,W,2
ANTH-200,XF,1
ANTH-240,A,2
ANTH-261,W,1
ANTH-274,A,3
ANTH-274,C,1
ANTH-275,A,2
ANTH-275,W,1
ANTH-356,A,1
ANTH-372,A,1
ANTH-372,NGC,2
ANTH-379,A,3
ANTH-379,C,1
AREC-202,A,4
AREC-202,A+,3
AREC-202,A-,1
AREC-202,B,1
AREC-202,B+,2
AREC-202,B-,2
AREC-202,C,9
AREC-202,C+,1
AREC-202,D,1
AREC-202,W,2
AREC-222,A,1
AREC-222,B+,1
AREC-222,C+,1
AREC-240,A,1
AREC-240,B+,1
AREC-342,A,3
AREC-342,A+,1
AREC-375,A+,1
ART-100,A,59
ART-100,A+,81
ART-100,A-,44
ART-100,B,18
ART-100,B+,21
ART-100,B-,19
ART-100,C,13
ART-100,C+,8
ART-100,D,4
ART-100,F,7
ART-100,RF,1
ART-100,W,4
ART-100,XF,1
ART-105,A+,1
ART-105,A-,1
ART-110,B+,1
ART-111,B-,1
ART-120,B+,1
ART-135,A,1
ART-135,A-,1
ART-135,B,1
ART-160,C+,1
ART-170,B,1
ART-200,A+,1
ART-200,A-,2
ART-236,A-,1
ART-240,A,1
ART-275J,A,1
ART-275J,A-,1
ART-340,B+,1
AS-101,A,7
AS-101,A+,4
AS-101,W,1
AS-102,A,6
AS-102,A+,2
AS-196A,S,11
AS-196A,W,1
AS-196B,S,8
AS-201,A,5
AS-201,A+,1
AS-201,W,1
AS-202,A+,2
AS-296A,S,6
AS-296A,W,1
AS-296B,S,2
AS-301,A,1
AS-301,A+,1
AS-302,A+,1
AS-396A,S,2
AS-396B,S,1
AS-401,A,1
AS-496A,S,1
ATS-150,A,2
ATS-150,A+,2
ATS-150,A-,2
ATS-150,B,1
ATS-150,B+,4
ATS-150,B-,1
ATS-350,A,1
ATS-350,A+,1
ATS-350,B,2
ATS-350,B+,1
ATS-350,C,1
ATS-351,B,1
BC-192,A,7
BC-192,A+,12
BC-192,B,1
BC-192,B+,1
BC-192,C+,2
BC-192,NGC,23
BC-295,A+,1
BC-351,A,86
BC-351,A+,58
BC-351,A-,21
BC-351,B,69
BC-351,B+,55
BC-351,B-,15
BC-351,C,27
BC-351,C+,17
BC-351,D,4
BC-351,F,2
BC-351,RC+,1
BC-351,RD,1
BC-351,W,5
BC-401,A,17
BC-401,A+,7
BC-401,B,5
BC-401,B+,5
BC-401,C,1
BC-401,RF,1
BC-401,W,1
BC-401,XA,1
BC-403,A,7
BC-403,B,2
BC-403,B+,6
BC-403,D,1
BC-403,W,1
BC-403,XF,1
BC-404,A,10
BC-404,A+,2
BC-404,A-,3
BC-404,B,1
BC-404,B+,1
BC-404,F,1
BC-404,W,1
BC-405,A,1
BC-411,A,1
BC-411,NGC,1
BC-463,A,2
BC-465,A,3
BC-465,A-,4
BC-465,B,3
BC-465,B+,3
BC-465,B-,1
BC-465,F,1
BC-465,W,2
BC-475,B+,1
BC-475,NGC,1
BC-484,A,9
BC-484,A+,14
BC-484,A-,2
BC-484,I,1
BC-496,A,2
BC-496,A+,3
BC-496,A-,1
BC-498,A,3
BC-566,A,1
BIOM-100,A,9
BIOM-100,A-,5
BIOM-100,B,1
BIOM-100,B+,1
BIOM-100,B-,1
BIOM-100,C+,1
BIOM-100,D,1
BIOM-100,W,1
BIOM-109,A,4
BIOM-109,A-,1
BIOM-109,B+,1
BIOM-200,A,2
BIOM-200,B+,3
BIOM-200,C,1
BIOM-300,NGC,6
BIOM-304,B-,1
BIOM-350A,A+,2
BIOM-350B,A,1
BIOM-350C,A,1
BIOM-350C,A+,1
BMS-200,A,300
BMS-200,B,23
BMS-200,C,16
BMS-200,D,2
BMS-200,F,6
BMS-200,W,21
BMS-200,XC,1
BMS-260,A,76
BMS-260,A+,13
BMS-260,A-,17
BMS-260,B,83
BMS-260,B+,14
BMS-260,B-,15
BMS-260,C,36
BMS-260,C+,4
BMS-260,D,5
BMS-260,NGC,378
BMS-260,W,12
BMS-296,A,69
BMS-300,A,345
BMS-300,A+,119
BMS-300,A-,1
BMS-300,B,259
BMS-300,B+,2
BMS-300,B-,2
BMS-300,C,182
BMS-300,C+,1
BMS-300,D,65
BMS-300,F,46
BMS-300,I,1
BMS-300,RC,2
BMS-300,RD,18
BMS-300,RF,30
BMS-300,W,72
BMS-300,XC,1
BMS-301,A,93
BMS-301,B,101
BMS-301,C,56
BMS-301,D,34
BMS-301,F,17
BMS-301,NGC,740
BMS-301,RC,2
BMS-301,RD,5
BMS-301,RF,1
BMS-301,W,87
BMS-302,A,267
BMS-302,A+,18
BMS-302,A-,25
BMS-302,B,184
BMS-302,B+,41
BMS-302,B-,25
BMS-302,C,83
BMS-302,C+,16
BMS-302,D,11
BMS-302,F,1
BMS-302,NGC,863
BMS-302,W,6
BMS-304,A,9
BMS-304,B,3
BMS-304,C,1
BMS-304,NGC,26
BMS-305,A,9
BMS-305,B,7
BMS-305,C,3
BMS-305,C+,1
BMS-305,D,1
BMS-305,F,3
BMS-305,NGC,56
BMS-305,W,14
BMS-320,A,1
BMS-320,A-,2
BMS-320,B,3
BMS-320,C+,1
BMS-320,D,1
BMS-320,W,1
BMS-325,A,44
BMS-325,B,35
BMS-325,C,18
BMS-325,D,4
BMS-325,F,2
BMS-325,RF,1
BMS-325,W,3
BMS-330,A,3
BMS-330,B,2
BMS-330,C,2
BMS-330,D,1
BMS-330,NGC,8
BMS-330,W,2
BMS-345,A,14
BMS-345,B,22
BMS-345,C,16
BMS-345,D,15
BMS-345,F,4
BMS-345,NGC,126
BMS-345,RD,1
BMS-345,RF,3
BMS-345,W,16
BMS-384,A,69
BMS-384,A+,13
BMS-384,B,1
BMS-400,A,6
BMS-400,W,2
