course_id,major_group,enrollments
AA-100,Anatomy and Physiology,2
AA-100,Behavioral and Cognitive Neuroscience,1
AA-100,Exercise Science,8
AA-100,Health Promotion,3
AA-100,Microbiology and Infectious Disease,1
AA-101,Exercise Science,3
AA-101,Health Promotion,1
AB-480A2,Health Promotion,1
AB-509,Microbiology and Infectious Disease,1
ACT-205,Anatomy and Physiology,4
ACT-205,Cell and Molecular Neuroscience,1
ACT-205,Environmental and Public Health,2
ACT-205,Exercise Science,14
ACT-205,Health Promotion,19
ACT-205,Microbiology and Infectious Disease,2
ACT-205,Other,1
ACT-210,Anatomy and Physiology,1
ACT-210,Exercise Science,4
ACT-210,Health Promotion,2
ACT-210,Other,1
ACT-220,Anatomy and Physiology,1
ACT-220,Exercise Science,1
ACT-220,Health Promotion,1
AGED-110,Anatomy and Physiology,2
AGED-110,Microbiology and Infectious Disease,2
AGED-220,Anatomy and Physiology,1
AGED-220,Microbiology and Infectious Disease,1
AGED-330,Anatomy and Physiology,1
AGRI-116,Anatomy and Physiology,4
AGRI-116,Exercise Science,2
AGRI-116,Microbiology and Infectious Disease,2
AHS-280A1,Behavioral and Cognitive Neuroscience,1
AHS-280A1,Exercise Science,1
AHS-280A1,Health Promotion,1
AHS-487B,Anatomy and Physiology,1
AM-101,Exercise Science,1
AM-110,Exercise Science,2
AM-130,Anatomy and Physiology,1
AM-130,Exercise Science,3
AM-130,Health Promotion,1
AM-130,Microbiology and Infectious Disease,2
AM-143,Exercise Science,2
AM-220,Exercise Science,2
AM-250,Environmental and Public Health,1
AM-250,Exercise Science,4
AM-250,Microbiology and Infectious Disease,1
AM-364,Anatomy and Physiology,1
AMST-100,Anatomy and Physiology,1
AMST-100,Cell and Molecular Neuroscience,1
AMST-100,Exercise Science,8
AMST-100,Health Promotion,2
AMST-100,Microbiology and Infectious Disease,3
AMST-100,Neuroscience,2
AMST-101,Anatomy and Physiology,6
AMST-101,Behavioral and Cognitive Neuroscience,4
AMST-101,Cell and Molecular Neuroscience,1
AMST-101,Environmental and Public Health,5
AMST-101,Exercise Science,11
AMST-101,Health Promotion,20
AMST-101,Microbiology and Infectious Disease,1
AMST-101,Other,3
ANEQ-101,Anatomy and Physiology,10
ANEQ-101,Exercise Science,10
ANEQ-101,Health Promotion,4
ANEQ-101,Microbiology and Infectious Disease,6
ANEQ-101,Other,1
ANEQ-102,Anatomy and Physiology,6
ANEQ-102,Behavioral and Cognitive Neuroscience,2
ANEQ-102,Exercise Science,2
