course_id,term_year,term_season,term_class_level,enrollments
AA-100,2021,Fall,Freshman,2
AA-100,2022,Fall,Freshman,1
AA-100,2022,Fall,Sophomore,1
AA-100,2023,Fall,Freshman,3
AA-100,2023,Spring,Sophomore,1
AA-100,2024,Fall,Freshman,1
AA-100,2024,Spring,Sophomore,1
AA-100,2025,Fall,Senior,1
AA-100,2025,Spring,Junior,1
AA-100,2025,Spring,Sophomore,2
AA-100,2025,Summer,Junior,1
AA-101,2024,Fall,Freshman,1
AA-101,2024,Spring,Sophomore,1
AA-101,2025,Spring,Sophomore,2
AB-480A2,2023,Spring,Sophomore,1
AB-509,2024,Fall,Senior,1
ACT-205,2023,Fall,Junior,1
ACT-205,2023,Fall,Sophomore,1
ACT-205,2023,Spring,Freshman,1
ACT-205,2023,Spring,Sophomore,2
ACT-205,2024,Fall,Junior,5
ACT-205,2024,Fall,Senior,2
ACT-205,2024,Fall,Sophomore,1
ACT-205,2024,Spring,Junior,5
ACT-205,2024,Spring,Senior,1
ACT-205,2024,Spring,Sophomore,2
ACT-205,2024,Summer,Junior,2
ACT-205,2025,Fall,Junior,4
ACT-205,2025,Fall,Sophomore,2
ACT-205,2025,Spring,Freshman,1
ACT-205,2025,Spring,Junior,4
ACT-205,2025,Spring,Senior,1
ACT-205,2025,Spring,Sophomore,5
ACT-205,2025,Summer,Junior,2
ACT-205,2025,Summer,Senior,1
ACT-210,2021,Spring,Freshman,1
ACT-210,2022,Spring,Sophomore,1
ACT-210,2024,Fall,Sophomore,1
ACT-210,2024,Spring,Junior,1
ACT-210,2024,Spring,Sophomore,2
ACT-210,2025,Spring,Freshman,1
ACT-210,2025,Summer,Senior,1
ACT-220,2022,Fall,Junior,1
ACT-220,2024,Fall,Junior,1
ACT-220,2025,Spring,Senior,1
AGED-110,2024,Spring,Sophomore,2
AGED-110,2025,Spring,Junior,2
AGED-220,2024,Fall,Junior,2
AGED-330,2025,Spring,Senior,1
AGRI-116,2023,Fall,Junior,6
AGRI-116,2023,Fall,Sophomore,2
AHS-280A1,2024,Fall,Freshman,1
AHS-280A1,2024,Fall,Sophomore,1
AHS-280A1,2025,Fall,Junior,1
AHS-487B,2025,Fall,Senior,1
AM-101,2022,Fall,Freshman,1
AM-110,2023,Spring,Sophomore,2
