course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
AA-100,Anatomy and Physiology,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
AA-100,Behavioral and Cognitive Neuroscience,1,F,Senior,Fall,Senior (Fall),Senior (Fall) | F
AA-100,Exercise Science,8,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
AA-100,Health Promotion,3,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
AA-100,Microbiology and Infectious Disease,1,B+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B+
AA-101,Exercise Science,1,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
AB-480A2,Health Promotion,1,F,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | F
AB-509,Microbiology and Infectious Disease,1,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
ACT-205,Anatomy and Physiology,4,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
ACT-205,Cell and Molecular Neuroscience,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
ACT-205,Environmental and Public Health,2,C+,Junior,Spring,Junior (Spring),Junior (Spring) | C+
ACT-205,Exercise Science,14,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ACT-205,Health Promotion,19,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ACT-205,Microbiology and Infectious Disease,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ACT-205,Other,1,B-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B-
ACT-210,Anatomy and Physiology,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ACT-210,Exercise Science,4,C,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | C
ACT-210,Health Promotion,2,A+,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A+
ACT-210,Other,1,B+,Freshman,Spring,Freshman (Spring),Freshman (Spring) | B+
ACT-220,Anatomy and Physiology,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ACT-220,Exercise Science,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ACT-220,Health Promotion,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
AGED-110,Anatomy and Physiology,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
