course_id,Anatomy and Physiology,Behavioral and Cognitive Neuroscience,Cell and Molecular Neuroscience,Environmental and Public Health,Exercise Science,Health Promotion,Microbiology and Infectious Disease,Neuroscience,Other
AA-100,Junior (Spring),Senior (Fall),,,Freshman (Fall),Freshman (Fall),Sophomore (Fall),,
AA-101,,,,,Sophomore (Spring),,,,
AB-480A2,,,,,,Sophomore (Spring),,,
AB-509,,,,,,,Senior (Fall),,
ACT-205,Junior (Spring),,Junior (Spring),Junior (Spring),Junior (Fall),Junior (Fall),Sophomore (Spring),,Sophomore (Spring)
ACT-210,Sophomore (Spring),,,,Sophomore (Spring),Freshman (Spring),,,Freshman (Spring)
ACT-220,Junior (Fall),,,,Junior (Fall),Senior (Spring),,,
AGED-110,Sophomore (Spring),,,,,,Junior (Spring),,
AGED-220,Junior (Fall),,,,,,Junior (Fall),,
AGED-330,Senior (Spring),,,,,,,,
AGRI-116,Junior (Fall),,,,Sophomore (Fall),,Junior (Fall),,
AHS-280A1,,Freshman (Fall),,,Sophomore (Fall),Junior (Fall),,,
AHS-487B,Senior (Fall),,,,,,,,
AM-101,,,,,Freshman (Fall),,,,
AM-110,,,,,Sophomore (Spring),,,,
AM-130,Sophomore (Fall),,,,Freshman (Fall),Sophomore (Fall),Sophomore (Fall),,
AM-143,,,,,Sophomore (Spring),,,,
AM-220,,,,,Sophomore (Fall),,,,
AM-250,,,,Sophomore (Fall),Sophomore (Fall),,Sophomore (Spring),,
AM-364,Sophomore (Summer),,,,,,,,
AMST-100,Junior (Spring),,Sophomore (Spring),,Sophomore (Fall),Freshman (Fall),Sophomore (Fall),Sophomore (Fall),
AMST-101,Sophomore (Spring),Freshman (Fall),Senior (Fall),Sophomore (Spring),Sophomore (Fall),Sophomore (Spring),Junior (Spring),,Junior (Fall)
ANEQ-101,Freshman (Fall),,,,Freshman (Fall),Freshman (Fall),Freshman (Fall),,
ANEQ-102,Sophomore (Fall),Freshman (Fall),,,Sophomore (Fall),Freshman (Fall),Junior (Fall),,Junior (Fall)
ANEQ-115,Junior (Spring),Sophomore (Spring),,,Junior (Spring),,Sophomore (Spring),,
ANEQ-180A2,,,,,,,Freshman (Fall),,
ANEQ-193,Freshman (Fall),,,,Freshman (Fall),Freshman (Fall),,,
ANEQ-250,Junior (Fall),,,,Sophomore (Fall),,,,
ANEQ-292,Sophomore (Spring),,,,Junior (Spring),,Sophomore (Spring),,
ANEQ-293,Junior (Spring),,,,,,Sophomore (Spring),,
ANEQ-300A,Sophomore (Spring),,,,Sophomore (Fall),,,,
ANEQ-305,Sophomore (Fall),,,,Junior (Spring),,Junior (Fall),,
ANEQ-310,Junior (Fall),,,,,,,,
ANEQ-320,Senior (Fall),,,,,,Senior (Fall),,
ANEQ-328,Junior (Fall),,,,,,Junior (Fall),,
ANEQ-334,,,,,,,Senior (Summer),,
ANEQ-344,,,,,,,Senior (Fall),,
ANEQ-345,,,,,,,Senior (Spring),,
ANEQ-346,,,,,,,Senior (Fall),,
ANEQ-351,,,,,,,Senior (Fall),,
ANEQ-360,Junior (Fall),,,,,,Sophomore (Fall),,
ANEQ-365,,,,,,,Senior (Spring),,
ANEQ-384,Sophomore (Spring),,,,,,Junior (Fall),,
ANEQ-440,,,,,,,Senior (Fall),,
ANEQ-487B,,,,,,,Senior (Summer),,
