course_id,Anatomy and Physiology,Behavioral and Cognitive Neuroscience,Cell and Molecular Neuroscience,Environmental and Public Health,Exercise Science,Health Promotion,Microbiology and Infectious Disease,Neuroscience,Other
AA-100,Junior (Spring) | A,Senior (Fall) | F,,,Freshman (Fall) | B,Freshman (Fall) | B,Sophomore (Fall) | B+,,
AA-101,,,,,Sophomore (Spring) | B,,,,
AB-480A2,,,,,,Sophomore (Spring) | F,,,
AB-509,,,,,,,Senior (Fall) | B,,
ACT-205,Junior (Spring) | A+,,Junior (Spring) | A,Junior (Spring) | C+,Junior (Fall) | A,Junior (Fall) | A,Sophomore (Spring) | A,,Sophomore (Spring) | B-
ACT-210,Sophomore (Spring) | A,,,,Sophomore (Spring) | C,Freshman (Spring) | A+,,,Freshman (Spring) | B+
ACT-220,Junior (Fall) | A,,,,Junior (Fall) | A,Senior (Spring) | A,,,
AGED-110,Sophomore (Spring) | A,,,,,,Junior (Spring) | A,,
AGED-220,Junior (Fall) | A,,,,,,Junior (Fall) | A,,
AGED-330,Senior (Spring) | A,,,,,,,,
AGRI-116,Junior (Fall) | A+,,,,Sophomore (Fall) | C,,Junior (Fall) | A+,,
AHS-280A1,,Freshman (Fall) | B-,,,Sophomore (Fall) | C,Junior (Fall) | A,,,
AHS-487B,Senior (Fall) | A+,,,,,,,,
AM-101,,,,,Freshman (Fall) | B+,,,,
AM-110,,,,,Sophomore (Spring) | C,,,,
AM-130,Sophomore (Fall) | A+,,,,Freshman (Fall) | B,Sophomore (Fall) | B,Sophomore (Fall) | A,,
AM-143,,,,,Sophomore (Spring) | B-,,,,
AM-220,,,,,Sophomore (Fall) | C,,,,
AM-250,,,,Sophomore (Fall) | B,Sophomore (Fall) | A-,,Sophomore (Spring) | A,,
AM-364,Sophomore (Summer) | D,,,,,,,,
AMST-100,Junior (Spring) | A+,,Sophomore (Spring) | A+,,Sophomore (Fall) | A-,Freshman (Fall) | B,Sophomore (Fall) | A-,Sophomore (Fall) | A,
