course_id,term_season,major_group,total_enrollments
AA-100,Fall,Exercise Science,5
AA-100,Spring,Exercise Science,3
AA-100,Summer,Anatomy and Physiology,1
AA-101,Fall,Exercise Science,1
AA-101,Spring,Exercise Science,2
AB-480A2,Spring,Health Promotion,1
AB-509,Fall,Microbiology and Infectious Disease,1
ACT-205,Fall,Health Promotion,9
ACT-205,Spring,Health Promotion,8
ACT-205,Summer,Exercise Science,2
ACT-210,Fall,Exercise Science,1
ACT-210,Spring,Exercise Science,2
ACT-210,Summer,Exercise Science,1
ACT-220,Fall,Anatomy and Physiology,1
ACT-220,Spring,Health Promotion,1
AGED-110,Spring,Anatomy and Physiology,2
AGED-220,Fall,Anatomy and Physiology,1
AGED-330,Spring,Anatomy and Physiology,1
AGRI-116,Fall,Anatomy and Physiology,4
AHS-280A1,Fall,Behavioral and Cognitive Neuroscience,1
AHS-487B,Fall,Anatomy and Physiology,1
AM-101,Fall,Exercise Science,1
AM-110,Spring,Exercise Science,2
AM-130,Fall,Exercise Science,2
AM-130,Spring,Exercise Science,1
AM-143,Spring,Exercise Science,2
AM-220,Fall,Exercise Science,2
AM-250,Fall,Exercise Science,3
AM-250,Spring,Exercise Science,1
AM-364,Summer,Anatomy and Physiology,1
AMST-100,Fall,Exercise Science,4
AMST-100,Spring,Exercise Science,4
AMST-101,Fall,Health Promotion,9
AMST-101,Spring,Health Promotion,11
ANEQ-101,Fall,Anatomy and Physiology,10
ANEQ-101,Spring,Other,1
ANEQ-102,Fall,Anatomy and Physiology,6
ANEQ-105,Fall,Anatomy and Physiology,2
ANEQ-105,Spring,Microbiology and Infectious Disease,3
ANEQ-115,Spring,Anatomy and Physiology,4
ANEQ-180A2,Fall,Microbiology and Infectious Disease,1
ANEQ-193,Fall,Exercise Science,6
ANEQ-201B,Spring,Microbiology and Infectious Disease,1
ANEQ-201B,Summer,Microbiology and Infectious Disease,1
ANEQ-250,Fall,Anatomy and Physiology,2
ANEQ-292,Spring,Anatomy and Physiology,1
ANEQ-293,Spring,Anatomy and Physiology,1
ANEQ-300A,Fall,Exercise Science,1
ANEQ-300A,Spring,Anatomy and Physiology,1
ANEQ-305,Fall,Microbiology and Infectious Disease,2
ANEQ-305,Spring,Anatomy and Physiology,1
ANEQ-305,Summer,Anatomy and Physiology,1
ANEQ-310,Fall,Anatomy and Physiology,1
ANEQ-310,Spring,Anatomy and Physiology,1
ANEQ-320,Fall,Anatomy and Physiology,22
ANEQ-320,Spring,Anatomy and Physiology,8
ANEQ-328,Fall,Anatomy and Physiology,2
ANEQ-328,Spring,Microbiology and Infectious Disease,1
ANEQ-334,Summer,Microbiology and Infectious Disease,1
ANEQ-344,Fall,Microbiology and Infectious Disease,1
ANEQ-345,Spring,Microbiology and Infectious Disease,1
ANEQ-346,Fall,Microbiology and Infectious Disease,2
ANEQ-351,Fall,Microbiology and Infectious Disease,2
ANEQ-360,Fall,Anatomy and Physiology,2
ANEQ-365,Spring,Microbiology and Infectious Disease,2
ANEQ-384,Fall,Microbiology and Infectious Disease,1
ANEQ-384,Spring,Anatomy and Physiology,1
ANEQ-440,Fall,Microbiology and Infectious Disease,1
ANEQ-486,Fall,Microbiology and Infectious Disease,1
ANEQ-487B,Summer,Microbiology and Infectious Disease,1
ANEQ-522,Fall,Anatomy and Physiology,1
ANTH-100,Fall,Health Promotion,3
ANTH-100,Spring,Exercise Science,7
ANTH-120,Fall,Exercise Science,5
ANTH-120,Spring,Exercise Science,5
ANTH-121,Fall,Anatomy and Physiology,1
ANTH-121,Spring,Exercise Science,1
ANTH-140,Fall,Exercise Science,11
ANTH-140,Spring,Exercise Science,12
ANTH-140,Summer,Anatomy and Physiology,3
ANTH-200,Fall,Anatomy and Physiology,6
ANTH-200,Spring,Exercise Science,9
ANTH-200,Summer,Anatomy and Physiology,1
ANTH-240,Fall,Anatomy and Physiology,1
ANTH-261,Spring,Exercise Science,1
ANTH-274,Fall,Neuroscience,1
ANTH-274,Spring,Exercise Science,2
ANTH-275,Fall,Microbiology and Infectious Disease,1
ANTH-275,Summer,Anatomy and Physiology,1
ANTH-356,Spring,Microbiology and Infectious Disease,1
ANTH-372,Fall,Anatomy and Physiology,2
ANTH-372,Spring,Anatomy and Physiology,1
ANTH-379,Fall,Exercise Science,2
AREC-202,Fall,Exercise Science,6
AREC-202,Spring,Exercise Science,4
AREC-222,Fall,Anatomy and Physiology,1
AREC-240,Fall,Environmental and Public Health,1
AREC-342,Spring,Environmental and Public Health,2
AREC-375,Fall,Microbiology and Infectious Disease,1
ART-100,Fall,Exercise Science,63
ART-100,Spring,Exercise Science,42
ART-100,Summer,Anatomy and Physiology,3
ART-105,Fall,Exercise Science,1
ART-105,Spring,Microbiology and Infectious Disease,1
