course_id,section_type,major_group,term_year,term_season,term_class_level,course_grade,enrollments
AA-100,Lecture,Anatomy and Physiology,2025,Spring,Junior,A,1
AA-100,Lecture,Anatomy and Physiology,2025,Summer,Junior,A,1
AA-100,Lecture,Behavioral and Cognitive Neuroscience,2025,Fall,Senior,F,1
AA-100,Lecture,Exercise Science,2022,Fall,Freshman,B,1
AA-100,Lecture,Exercise Science,2023,Fall,Freshman,B+,1
AA-100,Lecture,Exercise Science,2023,Fall,Freshman,C+,1
AA-100,Lecture,Exercise Science,2023,Fall,Freshman,W,1
AA-100,Lecture,Exercise Science,2023,Spring,Sophomore,B,1
AA-100,Lecture,Exercise Science,2024,Fall,Freshman,C,1
AA-100,Lecture,Exercise Science,2024,Spring,Sophomore,B,1
AA-100,Lecture,Exercise Science,2025,Spring,Sophomore,A,1
AA-100,Lecture,Health Promotion,2021,Fall,Freshman,B,1
AA-100,Lecture,Health Promotion,2021,Fall,Freshman,W,1
AA-100,Lecture,Health Promotion,2025,Spring,Sophomore,C+,1
AA-100,Lecture,Microbiology and Infectious Disease,2022,Fall,Sophomore,B+,1
AA-101,Lab,Exercise Science,2024,Fall,Freshman,C,1
AA-101,Lab,Exercise Science,2024,Spring,Sophomore,A,1
AA-101,Lab,Health Promotion,2025,Spring,Sophomore,B,1
AA-101,Lecture,Exercise Science,2025,Spring,Sophomore,B,1
AB-480A2,Lecture,Health Promotion,2023,Spring,Sophomore,F,1
AB-509,Lecture,Microbiology and Infectious Disease,2024,Fall,Senior,B,1
ACT-205,Lecture,Anatomy and Physiology,2023,Spring,Freshman,B,1
ACT-205,Lecture,Anatomy and Physiology,2024,Spring,Junior,A,1
ACT-205,Lecture,Anatomy and Physiology,2024,Spring,Senior,A+,1
ACT-205,Lecture,Anatomy and Physiology,2025,Spring,Junior,A+,1
ACT-205,Lecture,Cell and Molecular Neuroscience,2025,Spring,Junior,A,1
ACT-205,Lecture,Environmental and Public Health,2024,Spring,Sophomore,C+,1
ACT-205,Lecture,Environmental and Public Health,2024,Summer,Junior,C+,1
ACT-205,Lecture,Exercise Science,2023,Fall,Junior,A,1
ACT-205,Lecture,Exercise Science,2023,Fall,Sophomore,C,1
ACT-205,Lecture,Exercise Science,2023,Spring,Sophomore,B-,1
ACT-205,Lecture,Exercise Science,2024,Fall,Junior,B,1
ACT-205,Lecture,Exercise Science,2024,Fall,Senior,B-,1
ACT-205,Lecture,Exercise Science,2024,Fall,Sophomore,B+,1
